Номер Поколения;Среднее значение критической точки;Дисперсия;СКО;Коэфф. Стьюдента;Ошибка среднего;Начало Дов. Интервала;Конец  Дов. Интервала;Доверительная вероятность;Кол-во измерений;
21;390.395;61560.25;248.1134;1.96;2.773992;384.958;395.832;0.95;8000;
22;394.5035;61687.27;248.3692;1.96;2.776852;389.0609;399.9461;0.95;8000;
23;392.1121;61776.54;248.5489;1.96;2.778861;386.6656;397.5587;0.95;8000;
24;396.4055;61933.11;248.8636;1.96;2.78238;390.952;401.8589;0.95;8000;
25;394.7513;61600.77;248.195;1.96;2.774905;389.3124;400.1901;0.95;8000;
26;396.4399;61389.2;247.7684;1.96;2.770135;391.0104;401.8694;0.95;8000;
27;398.1346;60914.61;246.8088;1.96;2.759407;392.7262;403.5431;0.95;8000;
28;396.9185;61924.43;248.8462;1.96;2.782185;391.4654;402.3716;0.95;8000;
29;396.3112;61511.49;248.0151;1.96;2.772893;390.8764;401.7461;0.95;8000;
30;394.6101;62591.95;250.1838;1.96;2.79714;389.1277;400.0925;0.95;8000;
31;393.1642;62536.02;250.072;1.96;2.79589;387.6843;398.6442;0.95;8000;
32;393.245;61439.71;247.8703;1.96;2.771275;387.8133;398.6767;0.95;8000;
33;393.7225;62245.21;249.4899;1.96;2.789382;388.2553;399.1897;0.95;8000;
34;393.1047;61884.14;248.7652;1.96;2.78128;387.6534;398.556;0.95;8000;
35;395.9773;61936.75;248.871;1.96;2.782462;390.5237;401.4309;0.95;8000;
36;396.2325;62375.64;249.7512;1.96;2.792303;390.7596;401.7054;0.95;8000;
37;392.6161;62839.18;250.6774;1.96;2.802659;387.1229;398.1093;0.95;8000;
38;393.7953;62555.07;250.1101;1.96;2.796316;388.3145;399.276;0.95;8000;
39;391.5385;61745.43;248.4863;1.96;2.778161;386.0933;396.9837;0.95;8000;
40;392.7444;62307.81;249.6153;1.96;2.790784;387.2744;398.2143;0.95;8000;
41;396.2917;62684.95;250.3696;1.96;2.799217;390.8053;401.7782;0.95;8000;
42;397.7704;61737.93;248.4712;1.96;2.777992;392.3255;403.2152;0.95;8000;
43;393.5194;62895.26;250.7893;1.96;2.803909;388.0237;399.015;0.95;8000;
44;394.381;61836.87;248.6702;1.96;2.780217;388.9318;399.8302;0.95;8000;
45;397.3734;60767.8;246.5112;1.96;2.756079;391.9715;402.7753;0.95;8000;
46;395.817;61585.68;248.1646;1.96;2.774565;390.3788;401.2551;0.95;8000;
47;398.3044;62428.81;249.8576;1.96;2.793493;392.8291;403.7796;0.95;8000;
48;392.1581;62594.58;250.1891;1.96;2.797199;386.6756;397.6406;0.95;8000;
49;392.1988;61839.02;248.6745;1.96;2.780266;386.7495;397.6481;0.95;8000;
50;393.6709;62162.26;249.3236;1.96;2.787523;388.2073;399.1344;0.95;8000;
51;393.3801;61554.89;248.1026;1.96;2.773871;387.9433;398.8169;0.95;8000;
52;393.0455;62568.18;250.1363;1.96;2.796609;387.5641;398.5269;0.95;8000;
53;394.2747;63137.92;251.2726;1.96;2.809313;388.7685;399.781;0.95;8000;
54;393.7124;61608.34;248.2103;1.96;2.775075;388.2732;399.1515;0.95;8000;
55;392.1711;61746.25;248.4879;1.96;2.77818;386.7259;397.6163;0.95;8000;
56;392.9439;63263.45;251.5223;1.96;2.812104;387.4322;398.4556;0.95;8000;
57;394.4505;63793.98;252.5747;1.96;2.823871;388.9157;399.9853;0.95;8000;
58;392.5927;63139.84;251.2764;1.96;2.809356;387.0864;398.0991;0.95;8000;
59;391.0744;62283.37;249.5664;1.96;2.790237;385.6055;396.5432;0.95;8000;
60;392.1485;63121.46;251.2399;1.96;2.808947;386.643;397.654;0.95;8000;
61;395.817;63531.54;252.0546;1.96;2.818056;390.2936;401.3404;0.95;8000;
62;393.1218;62047.55;249.0935;1.96;2.78495;387.6633;398.5803;0.95;8000;
63;387.9631;62643.44;250.2867;1.96;2.79829;382.4785;393.4478;0.95;8000;
64;392.5579;63414.68;251.8227;1.96;2.815464;387.0396;398.0762;0.95;8000;
65;392.753;61420.07;247.8307;1.96;2.770832;387.3222;398.1838;0.95;8000;
66;392.2166;62547.77;250.0955;1.96;2.796153;386.7361;397.6971;0.95;8000;
67;389.2856;61527.87;248.0481;1.96;2.773262;383.85;394.7212;0.95;8000;
68;386.0769;62741.82;250.4832;1.96;2.800487;380.5879;391.5658;0.95;8000;
69;385.9791;60938.95;246.8582;1.96;2.759958;380.5696;391.3886;0.95;8000;
70;392.7005;62909.98;250.8186;1.96;2.804238;387.2042;398.1968;0.95;8000;
71;389.0419;62276.2;249.552;1.96;2.790076;383.5733;394.5104;0.95;8000;
72;389.7532;62030.31;249.0589;1.96;2.784563;384.2955;395.211;0.95;8000;
73;392.5992;61999.58;248.9971;1.96;2.783873;387.1429;398.0556;0.95;8000;
74;390.6081;63614.93;252.22;1.96;2.819905;385.0811;396.1351;0.95;8000;
75;388.7873;62942.48;250.8834;1.96;2.804962;383.2896;394.285;0.95;8000;
76;391.4141;62593.99;250.1879;1.96;2.797186;385.9316;396.8966;0.95;8000;
77;396.0211;62869.97;250.7389;1.96;2.803346;390.5266;401.5157;0.95;8000;
78;392.9714;62859;250.717;1.96;2.803101;387.4773;398.4655;0.95;8000;
79;393.7137;62264.78;249.5291;1.96;2.78982;388.2457;399.1818;0.95;8000;
80;391.2025;62920.84;250.8403;1.96;2.804479;385.7057;396.6993;0.95;8000;
81;394.0031;62813.28;250.6258;1.96;2.802081;388.511;399.4952;0.95;8000;
82;389.3579;62486.79;249.9736;1.96;2.79479;383.8801;394.8357;0.95;8000;
83;391.9568;61811.48;248.6191;1.96;2.779646;386.5086;397.4049;0.95;8000;
84;392.4949;62974.43;250.9471;1.96;2.805674;386.9958;397.994;0.95;8000;
85;392.2475;63129.58;251.256;1.96;2.809128;386.7416;397.7534;0.95;8000;
86;392.4119;62710.84;250.4213;1.96;2.799796;386.9243;397.8995;0.95;8000;
87;392.7535;62357.54;249.7149;1.96;2.791898;387.2814;398.2256;0.95;8000;
88;391.0261;61786.31;248.5685;1.96;2.779081;385.5791;396.4731;0.95;8000;
89;397.6005;63713.19;252.4147;1.96;2.822082;392.0692;403.1318;0.95;8000;
90;392.176;62634.68;250.2692;1.96;2.798095;386.6917;397.6602;0.95;8000;
91;390.8213;62253.55;249.5066;1.96;2.789569;385.3537;396.2888;0.95;8000;
92;391.0554;63064.06;251.1256;1.96;2.80767;385.5524;396.5584;0.95;8000;
93;390.5688;62468.87;249.9377;1.96;2.794389;385.0918;396.0457;0.95;8000;
94;389.2284;61813.86;248.6239;1.96;2.7797;383.7802;394.6766;0.95;8000;
95;391.4441;62573.39;250.1467;1.96;2.796726;385.9625;396.9257;0.95;8000;
96;391.7735;62175.18;249.3495;1.96;2.787812;386.3094;397.2376;0.95;8000;
97;392.6971;62562.68;250.1253;1.96;2.796486;387.216;398.1782;0.95;8000;
98;392.3405;62472.31;249.9446;1.96;2.794466;386.8634;397.8177;0.95;8000;
99;391.8962;62545.61;250.0912;1.96;2.796105;386.4159;397.3766;0.95;8000;
