Номер Поколения;Среднее значение критической точки;Дисперсия;СКО;Коэфф. Стьюдента;Ошибка среднего;Начало Дов. Интервала;Конец  Дов. Интервала;Доверительная вероятность;Кол-во измерений;
64;388.0456;60389.01;245.7418;1.96;2.747476;382.6606;393.4307;0.95;8000;
65;388.6271;60169.62;245.295;1.96;2.742481;383.2519;394.0024;0.95;8000;
66;393.0241;59131.77;243.1702;1.96;2.718726;387.6954;398.3528;0.95;8000;
67;388.7353;59729.57;244.3963;1.96;2.732434;383.3797;394.0908;0.95;8000;
68;390.9651;59828.97;244.5996;1.96;2.734707;385.6051;396.3251;0.95;8000;
69;391.5063;60099.47;245.1519;1.96;2.740882;386.1341;396.8784;0.95;8000;
70;391.2508;60261.73;245.4827;1.96;2.74458;385.8714;396.6301;0.95;8000;
71;386.4529;58660.5;242.1993;1.96;2.707871;381.1454;391.7603;0.95;8000;
72;388.7665;59256.97;243.4276;1.96;2.721603;383.4322;394.1009;0.95;8000;
73;390.8421;58797.8;242.4826;1.96;2.711038;385.5285;396.1558;0.95;8000;
74;391.1299;59634.52;244.2018;1.96;2.730259;385.7786;396.4812;0.95;8000;
75;391.9395;58806.22;242.4999;1.96;2.711232;386.6255;397.2535;0.95;8000;
76;388.6145;60156.22;245.2677;1.96;2.742176;383.2398;393.9892;0.95;8000;
77;389.836;58710.55;242.3026;1.96;2.709026;384.5263;395.1457;0.95;8000;
78;388.8124;59499.95;243.9261;1.96;2.727177;383.4671;394.1577;0.95;8000;
79;391.5426;59451.07;243.8259;1.96;2.726057;386.1996;396.8857;0.95;8000;
80;388.506;59202.42;243.3155;1.96;2.72035;383.1741;393.8379;0.95;8000;
81;390.9356;60129.99;245.2142;1.96;2.741578;385.5621;396.3091;0.95;8000;
82;393.3491;59477.96;243.881;1.96;2.726673;388.0049;398.6934;0.95;8000;
83;392.8997;59153.07;243.214;1.96;2.719216;387.5701;398.2294;0.95;8000;
84;393.045;60416.29;245.7972;1.96;2.748097;387.6588;398.4313;0.95;8000;
85;393.4052;60118.19;245.1901;1.96;2.741309;388.0323;398.7782;0.95;8000;
86;389.872;59494.79;243.9155;1.96;2.727059;384.527;395.217;0.95;8000;
87;389.9029;60202.56;245.3621;1.96;2.743232;384.5261;395.2796;0.95;8000;
88;388.2149;61067.22;247.1178;1.96;2.762861;382.7997;393.6301;0.95;8000;
89;395.7645;58871.76;242.635;1.96;2.712742;390.4475;401.0815;0.95;8000;
90;389.3266;59325.21;243.5677;1.96;2.723169;383.9892;394.664;0.95;8000;
91;388.5698;60783.8;246.5437;1.96;2.756443;383.1671;393.9724;0.95;8000;
92;390.6141;57955.34;240.7392;1.96;2.691545;385.3387;395.8896;0.95;8000;
93;390.7668;58777.52;242.4408;1.96;2.71057;385.454;396.0795;0.95;8000;
94;392.0665;60303.15;245.567;1.96;2.745522;386.6853;397.4477;0.95;8000;
95;390.1066;59298.26;243.5123;1.96;2.722551;384.7704;395.4428;0.95;8000;
96;387.7171;59905.77;244.7565;1.96;2.736461;382.3537;393.0806;0.95;8000;
97;391.982;60185.83;245.328;1.96;2.742851;386.606;397.358;0.95;8000;
98;387.797;59028.15;242.9571;1.96;2.716343;382.473;393.121;0.95;8000;
99;392.6454;60780.13;246.5363;1.96;2.756359;387.2429;398.0479;0.95;8000;
