Номер поколения; Средний фитнесс1; Средний фитнесс2; Средний фитнесс3; Макс. фитнес 1; Макс. фитнес 2; Макс. фитнес 3
50;2.746676;5.066569;3.380428;3.068556;6.434511;3.481192
51;2.740319;5.230699;3.077306;2.855658;6.412525;3.481192
52;2.651751;5.124402;2.884645;2.890621;5.821364;3.481192
53;2.813221;5.475343;2.988354;3.152191;6.825026;3.481192
54;2.775318;5.30995;3.116942;2.950624;6.395653;3.481192
55;2.738669;5.224791;3.096422;2.897606;6.048372;3.481192
56;2.757134;5.092668;3.391399;2.910381;5.781728;3.481192
57;2.766024;5.349657;2.994615;2.884746;6.577981;3.481192
58;2.699247;5.164402;3.025432;2.932104;6.794789;3.481192
59;2.757368;5.275311;3.101074;2.921712;5.961986;3.481192
60;2.688846;5.09555;3.096607;2.874582;5.78036;3.481192
61;2.75937;5.434929;2.852978;2.877146;6.405449;3.481192
62;2.776256;5.164214;3.358167;2.892187;5.86815;3.481192
63;2.745666;5.34613;2.936107;2.903366;5.906858;3.481192
64;2.671945;5.221121;2.811778;2.770151;6.008774;3.481192
65;2.777371;5.368089;3.055115;2.925972;6.126257;3.481192
66;2.718012;5.250456;2.966949;2.97752;6.390714;3.481193
67;2.763527;5.418321;2.873109;2.871792;6.558876;3.481193
68;2.77569;5.245531;3.199271;3.29703;7.026516;3.481193
69;2.735317;5.231557;3.055477;3.076574;7.006207;3.481193
70;2.753906;5.216213;3.185562;3.07898;6.193151;3.481193
71;2.712929;5.284592;2.88476;2.83739;6.035174;3.481193
72;2.814868;5.500196;2.976635;3.094425;6.828512;3.481193
73;2.738427;5.372311;2.846482;2.948267;6.762499;3.481193
74;2.714173;5.200722;3.004405;2.862269;5.923019;3.481193
75;2.602958;5.111983;2.692548;2.888572;5.814331;3.481193
76;2.791278;5.256589;3.277128;3.108332;6.265532;3.481193
77;2.65601;5.018806;3.08269;2.858136;5.836857;3.481193
78;2.717027;5.218579;3.031659;2.91371;5.939851;3.481193
79;2.711655;5.302375;2.86525;2.972483;6.446055;3.481193
80;2.765574;5.234996;3.191992;3.015594;6.665432;3.481193
81;2.757409;5.250558;3.137275;2.869558;6.147136;3.481193
82;2.736587;5.106801;3.285701;2.988018;5.949106;3.481194
83;2.616427;4.911577;3.075028;2.773618;5.57655;3.481194
84;2.709516;5.119382;3.157222;2.928046;5.974164;3.481194
85;2.70995;5.234945;2.975163;2.862719;5.886151;3.481194
86;2.782862;5.247723;3.254669;2.986492;6.126674;3.481194
87;2.75485;5.091333;3.375926;2.770856;5.517052;3.481194
88;2.750023;5.378041;2.848869;2.995418;6.808684;3.481194
89;2.790534;5.444934;2.963606;3.161357;6.871794;3.481194
90;2.754988;5.285218;3.065462;3.007335;6.293361;3.481194
91;2.790956;5.313842;3.164659;3.013023;6.813158;3.481194
92;2.785817;5.368768;3.056724;3.158812;6.728665;3.481194
93;2.701784;5.120533;3.09475;2.858139;5.449969;3.481194
94;2.75881;5.159126;3.286494;2.973155;6.503026;3.481194
95;2.74472;5.229193;3.126783;2.96468;6.364591;3.481194
96;2.650598;4.975616;3.113318;2.770006;5.066207;3.483669
97;2.687177;5.118729;3.053345;2.863318;5.50087;3.483669
98;2.756934;5.393903;2.896525;3.079926;6.756373;3.489759
99;2.802169;5.474872;2.939577;3.102536;6.432446;3.489759
